code;artikul;vendor;gname;description;EAN;sprice;warr;warrunit;width;height;depth;weight;volume;ukt zed;rrp_uah;prp_uah;stock;warehouse1;amount;images
ADD0002702;ADD0002702;Richman;База для столу Richman Джинс Перекладина 120 см;Металева опора Richman Джинс пропонує інноваційний дизайн, який поєднує елегантність та функціональність для сучасного простору. Її гнучка конструкція, що включає регульовану центральну планку та можливість налаштування глибини, дозволяє легко адаптувати її до стільниць різних розмірів, забезпечуючи вибір в розмірі та формі вашого столу.;3000000210116;2580;18;2;124;30;10;7;0.04;9403901000;4236;4026;1;0;0;https://richmangroup.com.ua/wp-content/uploads/2020/10/baza-dlya-stolu-dzhins-01-optimized.jpg, https://richmangroup.com.ua/wp-content/uploads/2020/10/baza-dlya-stolu-dzhins-02-optimized.jpg, https://richmangroup.com.ua/wp-content/uploads/2020/10/baza-dlya-stolu-dzhins-04-optimized.jpg, https://richmangroup.com.ua/wp-content/uploads/2020/10/baza-dlya-stolu-dzhins-03-optimized.jpg
ADD0002690;ADD0002690;Richman;База для столу Richman Джинс Перекладина 80 см;Металева опора Richman Джинс пропонує інноваційний дизайн, який поєднує елегантність та функціональність для сучасного простору. Її гнучка конструкція, що включає регульовану центральну планку та можливість налаштування глибини, дозволяє легко адаптувати її до стільниць різних розмірів, забезпечуючи вибір в розмірі та формі вашого столу.;3000000167335;2154;18;2;84;30;10;6;0.03;9403901000;3528;3354;1;3;3;https://richmangroup.com.ua/wp-content/uploads/2020/10/baza-dlya-stolu-dzhins-01-optimized.jpg, https://richmangroup.com.ua/wp-content/uploads/2020/10/baza-dlya-stolu-dzhins-02-optimized.jpg, https://richmangroup.com.ua/wp-content/uploads/2020/10/baza-dlya-stolu-dzhins-04-optimized.jpg, https://richmangroup.com.ua/wp-content/uploads/2020/10/baza-dlya-stolu-dzhins-03-optimized.jpg
R00000048854;R00000048854;Richman;Барний стілець Richman Ф’юрі Хокер Ніжки чорні Малколм 57;Барний стілець Richman Ф’юрі Хокер є елегантним та функціональним вибором для бару, відзначаючись оригінальним дизайном з декоративними смужками та компактними розмірами, які ідеально підходять для обмежених просторів. Каркас виготовлено з високоміцної багатошарової фанери, забезпечуючи довговічність і стабільність, а металеві ніжки з захисними накладками і перекладиною для ніг гарантують безпеку та комфорт. Оббивка стільця доступна в дизайнерському велюрі чи іншому матеріалі з палітри понад 500 тканин, а колір ніжок можна обрати з чорного, білого або темно-сірого варіантів. Ціна варіюється залежно від обраної тканини, що дозволяє адаптувати стілець до різних бюджетів та стилів інтер’єру.;3000000488553;2280;18;2;68;68;56;7;0.26;9401;3738;3552;1;0;0;https://richmangroup.com.ua/wp-content/uploads/2024/05/stilecz-fyuri-hoker-nizhky-chorni-malkolm-57-2-optimized.jpg, https://richmangroup.com.ua/wp-content/uploads/2024/05/stilecz-fyuri-hoker-nizhky-chorni-malkolm-57-1-optimized.jpg, https://richmangroup.com.ua/wp-content/uploads/2024/05/stilecz-fyuri-hoker-nizhky-chorni-malkolm-57-3-optimized.jpg, https://richmangroup.com.ua/wp-content/uploads/2024/05/stilecz-fyuri-hoker-nizhky-chorni-malkolm-57-4-optimized.jpg, 
R00000054255;R00000054255;Richman;Диван Richman Аміго Подвійний Зеніт 19 + Чорний;Диван Richman Аміго – це зручний та стильний вибір у сучасному стилі лофт. Він виготовляється у різних модифікаціях, таких як крісло, полуторний, подвійний та потрійний модулі, кожен з яких має м’які підлокітники та ергономічне сидіння з системою ламелей для високого комфорту. Каркас дивана зроблений з металевої труби і може бути пофарбований у різні кольори за системою RAL. Диван Аміго підходить для використання у торгових центрах, офісах та вітальнях, і доступний з широким вибором оббивок.;3000000542569;8382;18;2;147;72;80;36;0.85;9401;13764;13080;1;0;0;https://richmangroup.com.ua/wp-content/uploads/2025/05/dyvan-amigo-podvijnyj-karkas-chornyj-zenit-40-4-optimized.jpg, https://richmangroup.com.ua/wp-content/uploads/2025/05/dyvan-amigo-podvijnyj-karkas-chornyj-zenit-40-2-optimized.jpg, https://richmangroup.com.ua/wp-content/uploads/2025/05/dyvan-amigo-podvijnyj-karkas-chornyj-zenit-40-6-optimized.jpg, https://richmangroup.com.ua/wp-content/uploads/2025/05/dyvan-amigo-podvijnyj-karkas-chornyj-zenit-40-7-optimized.jpg, https://richmangroup.com.ua/wp-content/uploads/2025/05/dyvan-amigo-podvijnyj-karkas-chornyj-zenit-40-11-optimized.jpg, https://richmangroup.com.ua/wp-content/uploads/2025/05/dyvan-amigo-podvijnyj-karkas-chornyj-zenit-40-9-optimized.jpg, https://richmangroup.com.ua/wp-content/uploads/2025/05/dyvan-amigo-podvijnyj-karkas-chornyj-zenit-40-10-optimized.jpg, https://richmangroup.com.ua/wp-content/uploads/2025/05/dyvan-amigo-podvijnyj-karkas-chornyj-zenit-40-8-optimized.jpg, https://richmangroup.com.ua/wp-content/uploads/2025/05/dyvan-amigo-podvijnyj-karkas-chornyj-zenit-40-12-optimized.jpg
R00000051678;R00000051678;Richman;Диван Richman Аміго Подвійний Лілі 99 + Чорний;Диван Richman Аміго – це зручний та стильний вибір у сучасному стилі лофт. Він виготовляється у різних модифікаціях, таких як крісло, полуторний, подвійний та потрійний модулі, кожен з яких має м’які підлокітники та ергономічне сидіння з системою ламелей для високого комфорту. Каркас дивана зроблений з металевої труби і може бути пофарбований у різні кольори за системою RAL. Диван Аміго підходить для використання у торгових центрах, офісах та вітальнях, і доступний з широким вибором оббивок.;2800000471842;7980;18;2;147;72;80;36;0.85;9401;13098;12444;1;0;0;https://richmangroup.com.ua/wp-content/uploads/2024/12/dyvan-amigo-podvijnyj-karkas-chornyj-lili-99-4-optimized.jpg, https://richmangroup.com.ua/wp-content/uploads/2024/12/dyvan-amigo-podvijnyj-karkas-chornyj-lili-99-2-optimized.jpg, https://richmangroup.com.ua/wp-content/uploads/2024/12/dyvan-amigo-podvijnyj-karkas-chornyj-lili-99-6-optimized.jpg, https://richmangroup.com.ua/wp-content/uploads/2024/12/dyvan-amigo-podvijnyj-karkas-chornyj-lili-99-7-optimized.jpg, https://richmangroup.com.ua/wp-content/uploads/2024/12/dyvan-amigo-podvijnyj-karkas-chornyj-lili-99-8-optimized.jpg, https://richmangroup.com.ua/wp-content/uploads/2024/12/dyvan-amigo-podvijnyj-karkas-chornyj-lili-99-9-optimized.jpg, https://richmangroup.com.ua/wp-content/uploads/2024/12/dyvan-amigo-podvijnyj-karkas-chornyj-lili-99-10-optimized.jpg, https://richmangroup.com.ua/wp-content/uploads/2024/12/dyvan-amigo-podvijnyj-karkas-chornyj-lili-99-13-optimized.jpg, https://richmangroup.com.ua/wp-content/uploads/2024/12/dyvan-amigo-podvijnyj-karkas-chornyj-lili-99-11-optimized.jpg, https://richmangroup.com.ua/wp-content/uploads/2024/12/dyvan-amigo-podvijnyj-karkas-chornyj-lili-99-12-optimized.jpg, https://richmangroup.com.ua/wp-content/uploads/2024/12/dyvan-amigo-podvijnyj-karkas-chornyj-lili-99-14-optimized.jpg
R00000050928;R00000050928;Richman;Диван Richman Аміго Подвійний Парадиз 55 + Чорний;Диван Richman Аміго – це зручний та стильний вибір у сучасному стилі лофт. Він виготовляється у різних модифікаціях, таких як крісло, полуторний, подвійний та потрійний модулі, кожен з яких має м’які підлокітники та ергономічне сидіння з системою ламелей для високого комфорту. Каркас дивана зроблений з металевої труби і може бути пофарбований у різні кольори за системою RAL. Диван Аміго підходить для використання у торгових центрах, офісах та вітальнях, і доступний з широким вибором оббивок.;3000000509296;8382;18;2;147;72;80;36;0.85;9401;13764;13080;1;0;0;https://richmangroup.com.ua/wp-content/uploads/2024/09/dyvan-amigo-podvijnyj-karkas-ral-9016-paradiz-55-4-optimized.jpg, https://richmangroup.com.ua/wp-content/uploads/2024/09/dyvan-amigo-podvijnyj-karkas-ral-9016-paradiz-55-2-optimized.jpg, https://richmangroup.com.ua/wp-content/uploads/2024/09/dyvan-amigo-podvijnyj-karkas-ral-9016-paradiz-55-6-optimized.jpg, https://richmangroup.com.ua/wp-content/uploads/2024/09/dyvan-amigo-podvijnyj-karkas-ral-9016-paradiz-55-7-optimized.jpg, https://richmangroup.com.ua/wp-content/uploads/2024/09/dyvan-amigo-podvijnyj-karkas-ral-9016-paradiz-55-8-optimized.jpg, https://richmangroup.com.ua/wp-content/uploads/2024/09/dyvan-amigo-podvijnyj-karkas-ral-9016-paradiz-55-10-optimized.jpg, https://richmangroup.com.ua/wp-content/uploads/2024/09/dyvan-amigo-podvijnyj-karkas-ral-9016-paradiz-55-11-optimized.jpg, https://richmangroup.com.ua/wp-content/uploads/2024/09/dyvan-amigo-podvijnyj-karkas-ral-9016-paradiz-55-9-optimized.jpg, https://richmangroup.com.ua/wp-content/uploads/2024/09/dyvan-amigo-podvijnyj-karkas-ral-9016-paradiz-55-13-optimized.jpg, https://richmangroup.com.ua/wp-content/uploads/2024/09/dyvan-amigo-podvijnyj-karkas-ral-9016-paradiz-55-15-optimized.jpg, https://richmangroup.com.ua/wp-content/uploads/2024/09/dyvan-amigo-podvijnyj-karkas-ral-9016-paradiz-55-12-optimized.jpg
R00000049898;R00000049898;Richman;Диван Richman Аміго Потрійний Хілтон 05 + Чорний;Крісло Richman Аміго в стилі лофт поєднує сучасний дизайн, комфорт і доступну ціну, гарантуючи задоволення від покупки. Його м’які підлокітники з металевим каркасом і ергономічний передній край сидіння забезпечують високу зручність. Спеціальна система ламелей запобігає просіданню сидіння навіть при інтенсивному використанні, а широкий вибір оббивок дозволяє адаптувати крісло до будь-якого інтер’єру. Каркас з металевої труби з порошковим покриттям доступний у різних кольорах RAL, що робить крісло універсальним для будь-якого простору.;3000000498996;15384;18;2;207;72;80;30;1.19;9401;25254;23994;1;0;0;https://richmangroup.com.ua/wp-content/uploads/2025/01/dyvan-amigo-potrijnyj-karkas-chornyj-hilton-05-2-optimized.jpg, https://richmangroup.com.ua/wp-content/uploads/2025/01/dyvan-amigo-potrijnyj-karkas-chornyj-hilton-05-4-optimized.jpg, https://richmangroup.com.ua/wp-content/uploads/2025/01/dyvan-amigo-potrijnyj-karkas-chornyj-hilton-05-6-optimized.jpg, https://richmangroup.com.ua/wp-content/uploads/2025/01/dyvan-amigo-potrijnyj-karkas-chornyj-hilton-05-12-optimized.jpg, https://richmangroup.com.ua/wp-content/uploads/2025/01/dyvan-amigo-potrijnyj-karkas-chornyj-hilton-05-13-optimized.jpg, https://richmangroup.com.ua/wp-content/uploads/2025/01/dyvan-amigo-potrijnyj-karkas-chornyj-hilton-05-17-optimized.jpg, https://richmangroup.com.ua/wp-content/uploads/2025/01/hilton_5-optimized.jpg, https://richmangroup.com.ua/wp-content/uploads/2025/01/dyvan-amigo-potrijnyj-karkas-chornyj-hilton-05-20-optimized.jpg, https://richmangroup.com.ua/wp-content/uploads/2025/01/dyvan-amigo-potrijnyj-karkas-chornyj-hilton-05-20-optimized.jpg, https://richmangroup.com.ua/wp-content/uploads/2025/01/dyvan-amigo-potrijnyj-karkas-chornyj-hilton-05-18-optimized.jpg, https://richmangroup.com.ua/wp-content/uploads/2025/01/dyvan-amigo-potrijnyj-karkas-chornyj-hilton-05-11-optimized.jpg, https://richmangroup.com.ua/wp-content/uploads/2025/01/dyvan-amigo-potrijnyj-karkas-chornyj-hilton-05-10-optimized.jpg
R00000033125;R00000033125;Richman;Диван Richman Бруно Подвійний Флай 2230;"Диван Бруно від Richman поєднує сучасний стиль з класикою, миттєво змінюючи будь-який інтер'єр. Його структуровані прямокутні форми та натуральні дерев'яні ніжки додають затишку та елегантності, а високоякісний поролон під сидінням забезпечує комфорт і довговічність. Диван доступний з оббивкою з чорної екошкіри, натуральної шкіри або понад 500 видів тканини у 10 000 відтінків. Обирайте між 2-місним і 3-місним варіантами, а для повного затишку додайте м'яке крісло з колекції ""Бруно"".";2800000331269;7788;18;2;162;85;77;35;1.06;9401;12786;12150;1;3;3;https://richmangroup.com.ua/wp-content/uploads/2023/03/divan-bruno-02-optimized.jpg
R00000000651;R00000000651;Richman;Диван Richman Візит Одиниця Флай 2230;Диван Richman Візит — це класика з м'якими округлими формами, ідеальна для вишуканого офісу або квартири в класичному стилі. Доступний у варіантах одномісного, двомісного модуля, з підлокітниками або без, а також кутового модуля, які можна комбінувати за бажанням. Оббивка може бути з екошкіри, натуральної шкіри або іншої тканини на вибір, а модулі можуть з'єднуватися між собою. Диван відрізняється ергономічністю та має офіційний висновок про відповідність ортопедичним вимогам.;2800000006525;6468;18;2;89;91;89;17;0.67;9401;10620;10092;1;0;0;https://richmangroup.com.ua/wp-content/uploads/2024/03/dyvan-vizyt-odynarnyj-flaj-2230-optimized.jpg, https://richmangroup.com.ua/wp-content/uploads/2024/03/dyvan-vizyt-odynarnyj-flaj-2230-1-optimized.jpg, https://richmangroup.com.ua/wp-content/uploads/2024/03/dyvan-vizyt-odynarnyj-flaj-2230-3-optimized.jpg, https://richmangroup.com.ua/wp-content/uploads/2024/03/dyvan-vizyt-odynarnyj-flaj-2230-4-optimized.jpg, https://richmangroup.com.ua/wp-content/uploads/2024/03/dyvan-vizyt-odynarnyj-flaj-2230-5-optimized.jpg, https://richmangroup.com.ua/wp-content/uploads/2024/03/dyvan-vizyt-odynarnyj-flaj-2230-6-optimized.jpg, https://richmangroup.com.ua/wp-content/uploads/2024/03/dyvan-vizyt-odynarnyj-flaj-2230-7-optimized.jpg, https://richmangroup.com.ua/wp-content/uploads/2024/03/dyvan-vizyt-odynarnyj-flaj-2230-8-optimized.jpg, https://richmangroup.com.ua/wp-content/uploads/2024/03/dyvan-vizyt-odynarnyj-flaj-2230-9-optimized.jpg
R00000029239;R00000029239;Richman;Диван Richman Візит Подвійний Роккі 100;Диван Richman Візит — це класика з м'якими округлими формами, ідеальна для вишуканого офісу або квартири в класичному стилі. Доступний у варіантах одномісного, двомісного модуля, з підлокітниками або без, а також кутового модуля, які можна комбінувати за бажанням. Оббивка може бути з екошкіри, натуральної шкіри або іншої тканини на вибір, а модулі можуть з'єднуватися між собою. Диван відрізняється ергономічністю та має офіційний висновок про відповідність ортопедичним вимогам.;2800000292409;10542;18;2;169;91;89;40;1.3;9401;17304;16440;1;2;2;https://richmangroup.com.ua/wp-content/uploads/2024/08/dyvan-vizyt-podvijnyj-flaj-2230-optimized.jpg, https://richmangroup.com.ua/wp-content/uploads/2024/08/dyvan-vizyt-podvijnyj-flaj-2230_1-optimized.jpg, https://richmangroup.com.ua/wp-content/uploads/2024/08/dyvan-vizyt-podvijnyj-flaj-2230_2-optimized.jpg
